freq,TIME_PERIOD,OBS_VALUE
M,2007-10,3921.0849
M,2007-11,3901.1255
M,2007-12,3879.9573
M,2008-01,3857.8003
M,2008-02,3834.8786
M,2008-03,3811.4178
M,2008-04,3787.6433
M,2008-05,3763.7786
M,2008-06,3740.0433
M,2008-07,3716.6514
M,2008-08,3693.8106
M,2008-09,3671.7206
M,2008-10,3650.5721
M,2008-11,3630.5463
M,2008-12,3611.8141
M,2009-01,3594.5356
M,2009-02,3578.8594
M,2009-03,3564.9230
M,2009-04,3552.8520
M,2009-05,3542.7604
M,2009-06,3534.7505
M,2009-07,3528.9125
M,2009-08,3525.3253
M,2009-09,3524.0557
M,2009-10,3525.1589
M,2009-11,3528.6785
M,2009-12,3534.6464
M,2010-01,3543.0825
M,2010-02,3553.9951
M,2010-03,3567.3802
M,2010-04,3583.2218
M,2010-05,3601.4912
M,2010-06,3622.1475
M,2010-07,3645.1363
M,2010-08,3670.3903
M,2010-09,3697.8286
M,2010-10,3727.3566
M,2010-11,3758.8656
M,2010-12,3792.2329
M,2011-01,3827.3214
M,2011-02,3863.9799
M,2011-03,3902.0434
M,2011-04,3941.3327
M,2011-05,3981.6557
M,2011-06,4022.8077
M,2011-07,4064.5721
M,2011-08,4106.7218
M,2011-09,4149.0202
M,2011-10,4191.2230
M,2011-11,4233.0801
M,2011-12,4274.3370
M,2012-01,4314.7375
M,2012-02,4354.0261
M,2012-03,4391.9503
M,2012-04,4428.2632
M,2012-05,4462.7263
M,2012-06,4495.1127
M,2012-07,4525.2089
M,2012-08,4552.8183
M,2012-09,4577.7634
M,2012-10,4599.8880
M,2012-11,4619.0595
M,2012-12,4635.1707
M,2013-01,4648.1413
M,2013-02,4657.9190
M,2013-03,4664.4802
M,2013-04,4667.8304
M,2013-05,4668.0043
M,2013-06,4665.0651
M,2013-07,4659.1037
M,2013-08,4650.2374
M,2013-09,4638.6087
M,2013-10,4624.3828
M,2013-11,4607.7461
M,2013-12,4588.9033
M,2014-01,4568.0755
M,2014-02,4545.4969
M,2014-03,4521.4128
M,2014-04,4496.0764
M,2014-05,4469.7467
M,2014-06,4442.6855
M,2014-07,4415.1555
M,2014-08,4387.4175
M,2014-09,4359.7288
M,2014-10,4332.3412
M,2014-11,4305.4994
M,2014-12,4279.4391
M,2015-01,4254.3866
M,2015-02,4230.5571
M,2015-03,4208.1541
M,2015-04,4187.3688
M,2015-05,4168.3793
M,2015-06,4151.3507
M,2015-07,4136.4347
M,2015-08,4123.7691
M,2015-09,4113.4782
M,2015-10,4105.6726
M,2015-11,4100.4492
M,2015-12,4097.8914
M,2016-01,4098.0686
M,2016-02,4101.0370
M,2016-03,4106.8390
M,2016-04,4115.5034
M,2016-05,4127.0452
M,2016-06,4141.4654
M,2016-07,4158.7511
M,2016-08,4178.8748
M,2016-09,4201.7945
M,2016-10,4227.4535
M,2016-11,4255.7793
M,2016-12,4286.6844
M,2017-01,4320.0650
M,2017-02,4355.8013
M,2017-03,4393.7571
M,2017-04,4433.7798
M,2017-05,4475.7000
M,2017-06,4519.3321
M,2017-07,4564.4745
M,2017-08,4610.9096
M,2017-09,4658.4051
M,2017-10,4706.7145
M,2017-11,4755.5784
M,2017-12,4804.7260
M,2018-01,4853.8765
M,2018-02,4902.7416
M,2018-03,4951.0270
M,2018-04,4998.4353
M,2018-05,5044.6689
M,2018-06,5089.4322
M,2018-07,5132.4353
M,2018-08,5173.3966
M,2018-09,5212.0465
M,2018-10,5248.1301
M,2018-11,5281.4108
M,2018-12,5311.6728
M,2019-01,5338.7244
M,2019-02,5362.4003
M,2019-03,5382.5638
M,2019-04,5399.1089
M,2019-05,5411.9616
M,2019-06,5421.0811
M,2019-07,5426.4605
M,2019-08,5428.1265
M,2019-09,5426.1395
M,2019-10,5420.5925
M,2019-11,5411.6100
M,2019-12,5399.3461
M,2020-01,5383.9827
M,2020-02,5365.7271
M,2020-03,5344.8092
M,2020-04,5321.4788
M,2020-05,5296.0025
M,2020-06,5268.6607
M,2020-07,5239.7446
M,2020-08,5209.5531
M,2020-09,5178.3895
M,2020-10,5146.5593
M,2020-11,5114.3668
M,2020-12,5082.1132
M,2021-01,5050.0940
M,2021-02,5018.5972
M,2021-03,4987.9013
M,2021-04,4958.2740
M,2021-05,4929.9706
M,2021-06,4903.2333
M,2021-07,4878.2901
M,2021-08,4855.3545
M,2021-09,4834.6244
M,2021-10,4816.2823
M,2021-11,4800.4950
M,2021-12,4787.4133
M,2022-01,4777.1721
M,2022-02,4769.8905
M,2022-03,4765.6715
M,2022-04,4764.6024
M,2022-05,4766.7547
M,2022-06,4772.1841
M,2022-07,4780.9303
M,2022-08,4793.0173
M,2022-09,4808.4526
M,2022-10,4827.2277
M,2022-11,4849.3175
M,2022-12,4874.6800
M,2023-01,4903.2558
M,2023-02,4934.9683
M,2023-03,4969.7226
M,2023-04,5007.4056
M,2023-05,5047.8855
M,2023-06,5091.0115
M,2023-07,5136.6137
M,2023-08,5184.5030
M,2023-09,5234.4711
M,2023-10,5286.2909
M,2023-11,5339.7166
M,2023-12,5394.4849
M,2024-01,5450.3156
M,2024-02,5506.9128
M,2024-03,5563.9668
M,2024-04,5621.1555
M,2024-05,5678.1467
M,2024-06,5734.6007
M,2024-07,5790.1729
M,2024-08,5844.5168
M,2024-09,5897.2874
M,2024-10,5948.1446
M,2024-11,5996.7566
M,2024-12,6042.8039
M,2025-01,6085.9831
M,2025-02,6126.0098
M,2025-03,6162.6234
M,2025-04,6195.5893
M,2025-05,6224.7027
M,2025-06,6249.7912
M,2025-07,6270.7170
M,2025-08,6287.3792
M,2025-09,6299.7148
M,2025-10,6307.7001
M,2025-11,6311.3505
M,2025-12,6310.7207
