freq,TIME_PERIOD,OBS_VALUE
M,2008-03,96.5350
M,2008-04,96.8763
M,2008-05,97.2276
M,2008-06,97.5798
M,2008-07,97.9236
M,2008-08,98.2503
M,2008-09,98.5511
M,2008-10,98.8183
M,2008-11,99.0452
M,2008-12,99.2259
M,2009-01,99.3560
M,2009-02,99.4324
M,2009-03,99.4537
M,2009-04,99.4196
M,2009-05,99.3319
M,2009-06,99.1933
M,2009-07,99.0084
M,2009-08,98.7828
M,2009-09,98.5233
M,2009-10,98.2376
M,2009-11,97.9343
M,2009-12,97.6223
M,2010-01,97.3108
M,2010-02,97.0089
M,2010-03,96.7257
M,2010-04,96.4694
M,2010-05,96.2478
M,2010-06,96.0676
M,2010-07,95.9342
M,2010-08,95.8520
M,2010-09,95.8238
M,2010-10,95.8510
M,2010-11,95.9332
M,2010-12,96.0688
M,2011-01,96.2547
M,2011-02,96.4861
M,2011-03,96.7573
M,2011-04,97.0612
M,2011-05,97.3901
M,2011-06,97.7353
M,2011-07,98.0878
M,2011-08,98.4385
M,2011-09,98.7781
M,2011-10,99.0978
M,2011-11,99.3893
M,2011-12,99.6451
M,2012-01,99.8586
M,2012-02,100.0245
M,2012-03,100.1387
M,2012-04,100.1986
M,2012-05,100.2032
M,2012-06,100.1528
M,2012-07,100.0493
M,2012-08,99.8963
M,2012-09,99.6985
M,2012-10,99.4619
M,2012-11,99.1937
M,2012-12,98.9018
M,2013-01,98.5949
M,2013-02,98.2821
M,2013-03,97.9725
M,2013-04,97.6753
M,2013-05,97.3993
M,2013-06,97.1527
M,2013-07,96.9429
M,2013-08,96.7763
M,2013-09,96.6579
M,2013-10,96.5918
M,2013-11,96.5801
M,2013-12,96.6239
M,2014-01,96.7225
M,2014-02,96.8736
M,2014-03,97.0737
M,2014-04,97.3178
M,2014-05,97.5996
M,2014-06,97.9119
M,2014-07,98.2466
M,2014-08,98.5950
M,2014-09,98.9479
M,2014-10,99.2962
M,2014-11,99.6308
M,2014-12,99.9429
M,2015-01,100.2244
M,2015-02,100.4681
M,2015-03,100.6677
M,2015-04,100.8184
M,2015-05,100.9165
M,2015-06,100.9598
M,2015-07,100.9477
M,2015-08,100.8811
M,2015-09,100.7623
M,2015-10,100.5952
M,2015-11,100.3851
M,2015-12,100.1382
M,2016-01,99.8620
M,2016-02,99.5646
M,2016-03,99.2550
M,2016-04,98.9421
M,2016-05,98.6353
M,2016-06,98.3436
M,2016-07,98.0757
M,2016-08,97.8394
M,2016-09,97.6420
M,2016-10,97.4894
M,2016-11,97.3864
M,2016-12,97.3364
M,2017-01,97.3415
M,2017-02,97.4019
M,2017-03,97.5166
M,2017-04,97.6829
M,2017-05,97.8968
M,2017-06,98.1529
M,2017-07,98.4447
M,2017-08,98.7646
M,2017-09,99.1044
M,2017-10,99.4551
M,2017-11,99.8076
M,2017-12,100.1527
M,2018-01,100.4814
M,2018-02,100.7851
M,2018-03,101.0559
M,2018-04,101.2870
M,2018-05,101.4724
M,2018-06,101.6076
M,2018-07,101.6894
M,2018-08,101.7160
M,2018-09,101.6873
M,2018-10,101.6046
M,2018-11,101.4709
M,2018-12,101.2902
M,2019-01,101.0683
M,2019-02,100.8118
M,2019-03,100.5283
M,2019-04,100.2263
M,2019-05,99.9147
M,2019-06,99.6028
M,2019-07,99.2996
M,2019-08,99.0141
M,2019-09,98.7549
M,2019-10,98.5296
M,2019-11,98.3451
M,2019-12,98.2070
M,2020-01,98.1196
M,2020-02,98.0861
M,2020-03,98.1078
M,2020-04,98.1848
M,2020-05,98.3153
M,2020-06,98.4965
M,2020-07,98.7237
M,2020-08,98.9913
M,2020-09,99.2924
M,2020-10,99.6192
M,2020-11,99.9632
M,2020-12,100.3154
M,2021-01,100.6667
M,2021-02,101.0077
M,2021-03,101.3298
M,2021-04,101.6244
M,2021-05,101.8839
M,2021-06,102.1018
M,2021-07,102.2725
M,2021-08,102.3919
M,2021-09,102.4572
M,2021-10,102.4671
M,2021-11,102.4220
M,2021-12,102.3236
M,2022-01,102.1752
M,2022-02,101.9815
M,2022-03,101.7484
M,2022-04,101.4829
M,2022-05,101.1930
M,2022-06,100.8871
M,2022-07,100.5745
M,2022-08,100.2642
M,2022-09,99.9654
M,2022-10,99.6870
M,2022-11,99.4372
M,2022-12,99.2235
M,2023-01,99.0524
M,2023-02,98.9292
M,2023-03,98.8578
M,2023-04,98.8408
M,2023-05,98.8792
M,2023-06,98.9725
M,2023-07,99.1187
M,2023-08,99.3142
M,2023-09,99.5542
M,2023-10,99.8327
M,2023-11,100.1424
M,2023-12,100.4753
M,2024-01,100.8227
M,2024-02,101.1756
M,2024-03,101.5247
M,2024-04,101.8610
M,2024-05,102.1756
M,2024-06,102.4605
M,2024-07,102.7081
M,2024-08,102.9123
M,2024-09,103.0680
M,2024-10,103.1713
M,2024-11,103.2200
M,2024-12,103.2133
M,2025-01,103.1518
M,2025-02,103.0380
M,2025-03,102.8754
M,2025-04,102.6692
M,2025-05,102.4256
M,2025-06,102.1519
M,2025-07,101.8562
M,2025-08,101.5473
M,2025-09,101.2344
M,2025-10,100.9266
M,2025-11,100.6331
M,2025-12,100.3624
