freq,TIME_PERIOD,OBS_VALUE
M,2013-06,1.4052
M,2013-07,1.3282
M,2013-08,1.2410
M,2013-09,1.1443
M,2013-10,1.0393
M,2013-11,0.9268
M,2013-12,0.8081
M,2014-01,0.6843
M,2014-02,0.5568
M,2014-03,0.4269
M,2014-04,0.2959
M,2014-05,0.1652
M,2014-06,0.0362
M,2014-07,-0.0899
M,2014-08,-0.2116
M,2014-09,-0.3277
M,2014-10,-0.4371
M,2014-11,-0.5000
M,2014-12,-0.5000
M,2015-01,-0.5000
M,2015-02,-0.5000
M,2015-03,-0.5000
M,2015-04,-0.5000
M,2015-05,-0.5000
M,2015-06,-0.5000
M,2015-07,-0.5000
M,2015-08,-0.5000
M,2015-09,-0.5000
M,2015-10,-0.5000
M,2015-11,-0.5000
M,2015-12,-0.5000
M,2016-01,-0.5000
M,2016-02,-0.5000
M,2016-03,-0.5000
M,2016-04,-0.5000
M,2016-05,-0.5000
M,2016-06,-0.4266
M,2016-07,-0.3372
M,2016-08,-0.2464
M,2016-09,-0.1555
M,2016-10,-0.0658
M,2016-11,0.0212
M,2016-12,0.1042
M,2017-01,0.1820
M,2017-02,0.2533
M,2017-03,0.3171
M,2017-04,0.3723
M,2017-05,0.4180
M,2017-06,0.4533
M,2017-07,0.4777
M,2017-08,0.4904
M,2017-09,0.4912
M,2017-10,0.4798
M,2017-11,0.4560
M,2017-12,0.4199
M,2018-01,0.3718
M,2018-02,0.3119
M,2018-03,0.2408
M,2018-04,0.1591
M,2018-05,0.0675
M,2018-06,-0.0331
M,2018-07,-0.1416
M,2018-08,-0.2571
M,2018-09,-0.3782
M,2018-10,-0.5000
M,2018-11,-0.5000
M,2018-12,-0.5000
M,2019-01,-0.5000
M,2019-02,-0.5000
M,2019-03,-0.5000
M,2019-04,-0.5000
M,2019-05,-0.5000
M,2019-06,-0.5000
M,2019-07,-0.5000
M,2019-08,-0.5000
M,2019-09,-0.5000
M,2019-10,-0.5000
M,2019-11,-0.5000
M,2019-12,-0.5000
M,2020-01,-0.5000
M,2020-02,-0.5000
M,2020-03,-0.5000
M,2020-04,-0.5000
M,2020-05,-0.5000
M,2020-06,-0.5000
M,2020-07,-0.5000
M,2020-08,-0.5000
M,2020-09,-0.5000
M,2020-10,-0.5000
M,2020-11,-0.5000
M,2020-12,-0.5000
M,2021-01,-0.5000
M,2021-02,-0.5000
M,2021-03,-0.5000
M,2021-04,-0.5000
M,2021-05,-0.5000
M,2021-06,-0.5000
M,2021-07,-0.5000
M,2021-08,-0.5000
M,2021-09,-0.5000
M,2021-10,-0.5000
M,2021-11,-0.5000
M,2021-12,-0.5000
M,2022-01,-0.5000
M,2022-02,-0.5000
M,2022-03,-0.5000
M,2022-04,-0.5000
M,2022-05,-0.5000
M,2022-06,-0.5000
M,2022-07,-0.5000
M,2022-08,-0.5000
M,2022-09,-0.5000
M,2022-10,-0.5000
M,2022-11,-0.5000
M,2022-12,-0.5000
M,2023-01,-0.5000
M,2023-02,-0.5000
M,2023-03,-0.5000
M,2023-04,-0.5000
M,2023-05,-0.5000
M,2023-06,-0.5000
M,2023-07,-0.5000
M,2023-08,-0.5000
M,2023-09,-0.5000
M,2023-10,-0.5000
M,2023-11,-0.5000
M,2023-12,-0.5000
M,2024-01,-0.5000
M,2024-02,-0.5000
M,2024-03,-0.5000
M,2024-04,-0.5000
M,2024-05,-0.5000
M,2024-06,-0.5000
M,2024-07,-0.5000
M,2024-08,-0.5000
M,2024-09,-0.5000
M,2024-10,-0.5000
M,2024-11,-0.5000
M,2024-12,-0.5000
M,2025-01,-0.5000
M,2025-02,-0.5000
M,2025-03,-0.5000
M,2025-04,-0.5000
M,2025-05,-0.5000
M,2025-06,-0.5000
M,2025-07,-0.5000
M,2025-08,-0.5000
M,2025-09,-0.5000
M,2025-10,-0.5000
M,2025-11,-0.5000
M,2025-12,-0.5000
